ChEBI_ID,ChEBI_Name,Corr-PValue,PValue,Fold,SamplePercentage
CHEBI:22485,glucosamine oligosaccharide,0.0,0.0,23.706068228439698,0.09656196943972802
CHEBI:22483,amino oligosaccharide,0.0,0.0,22.512465373961202,0.177631578947368
CHEBI:63563,oligosaccharide derivative,0.0,0.0,21.2689514665418,0.272495755517827
CHEBI:63353,disaccharide derivative,0.0,0.0,19.4551273344652,0.085950764006791
CHEBI:22798,beta-D-glucoside,0.0,0.0,18.4454800077265,0.108870967741935
CHEBI:35436,D-glucoside,0.0,0.0,18.3187705091748,0.117996604414261
CHEBI:60980,beta-glucoside,0.0,0.0,18.2357449348343,0.10908319185059401
CHEBI:24278,glucoside,0.0,0.0,17.9339445387663,0.118845500848896
CHEBI:35313,hexoside,0.0,0.0,17.3022911411942,0.13285229202037402
CHEBI:33563,glycolipid,0.0,0.0,12.972389628917599,0.16723259762309
