,p corr.,Samples (P) %,Fold enrich.,M diff.
899267680,4.771577170707484e-75,0.24,144.9685230024213,0.26931578327550754
895150092,1.9365225475611622e-64,0.25,59.45974576271187,0.24996149978711646
899267515,5.998912981188816e-49,0.17,84.56497175141244,0.2009846995624564
1039786213,8.993529741626788e-44,0.25,27.181598062953995,0.24488400112330033
3855312692,1.8937991070736858e-39,0.46,11.258650085247215,0.46331156184040073
2085926208,9.092109913983023e-26,0.1,63.42372881355932,0.10009149462355851
2085926211,8.450072120278612e-20,0.08,52.85310734463276,0.08314234208118562
2807475527,1.7054114826408461e-18,0.1,29.272490221642766,0.09822083722109994
1857682396,1.351619694361057e-13,0.08,26.42655367231638,0.08153892145050684
3425850832,5.711507096780322e-13,0.07,36.24213075060533,0.06592595276703295
912632640,2.9649504417168836e-12,0.31,7.176385217436375,0.539732219695803
1229209235,5.3762020818588896e-12,0.07,31.711864406779664,0.06565871599525315
310794391,5.3762020818588896e-12,0.07,31.711864406779664,0.06565871599525315
665484675,1.6866459908134947e-11,0.37,4.6162840592147605,0.3053836885921605
3975275337,2.2179844008336884e-11,0.17,8.345227475468333,0.14918153076846424
4081192417,4.06762540620757e-09,0.2,5.945974576271188,0.1691835237206606
3567570924,2.595687818716785e-08,0.1,11.531587057010787,0.092876101785504
1173125914,2.715373502815684e-08,0.97,1.6789215039403744,0.582580691916767
113411902,4.590831427691381e-08,0.08,13.78776713338246,0.07859931696092907
3950063229,6.922556005846574e-08,0.05,27.181598062953995,0.04897680022466007
517457164,1.7730467073718114e-07,0.29,4.32926476543067,0.2606826767159771
784020300,4.091981315218208e-07,0.07,15.855932203389832,0.06352082182101478
2246728737,5.298141247907632e-07,1.0,1.6250328871250472,0.8931188795985108
1952867526,7.255805201750457e-07,0.08,11.745134965473948,0.07753036987380989
2079704715,8.529457858462685e-07,0.12,8.221594475831765,0.10421328212050114
331343,8.529457858462685e-07,0.12,8.221594475831765,0.10421328212050114
1177365364,1.008452906764111e-06,0.07,14.923230309072784,0.06325358504923498
2599973650,1.4696962768997043e-06,0.17,5.662832929782082,0.13956100698439156
1083574125,1.5824257916383036e-06,0.05,21.14124293785311,0.048442326681100475
730311579,5.656335360035585e-06,0.05,19.027118644067798,0.04817508990932068
2245273601,6.228822865000038e-05,0.73,2.2639943417610415,1.343711782876917
2976033787,6.613715852107167e-05,0.49,2.315825198139386,0.8956191287175352
867767676,6.70646860747382e-05,0.07,11.030213706705968,0.0616501644185562
98513984,0.0001616456009433931,0.1,8.456497175141243,0.3287872885885369
2339072831,0.00026504927565753283,0.05,10.570621468926555,0.046037195735082304
3153477100,0.0002794610241201877,0.08,7.374852187623176,0.07325458152533314
408739733,0.0005433067505554929,0.05,12.684745762711866,0.046838906050421694
3219504644,0.0006873470187394275,0.12,5.348989177047171,0.09646341573888703
569172881,0.0007412379354320895,0.07,13.45351823317925,0.10982525432787688
21411075,0.0009899468679781137,0.54,3.1928663976993814,0.94289739013851
1026928756,0.0010020466568656159,0.12,5.103058640171439,0.09539446865176784
1286704427,0.001079074563615674,0.05,10.014272970561999,0.04576995896330251
2968968094,0.0014652974199813977,0.32,1.870186875271621,0.1813858264863347
3671842317,0.0024520480073508153,0.07,8.183706943685074,0.05951227024431782
570546812,0.0030539749709359316,0.66,1.8563042579578337,0.5160251474331681
489672074,0.00344394472248491,0.05,9.513559322033899,0.04550272219152271
864662311,0.0047324712408862,0.88,1.5850577278633535,0.9258984137912292
3332377904,0.009214369426326792,0.05,9.060532687651332,0.04523548541974291
847957139,0.010157676115016034,0.17,3.320614074008341,0.11844930201378759
864942795,0.012809120356813352,0.03,0.1089754790610985,-0.2771652972669378
1533864325,0.013589986431141851,0.58,2.155175250946191,0.44515304966980407
404279373,0.01388162534336583,0.03,14.094161958568739,0.03149317413872759
204818742,0.01388162534336583,0.03,14.094161958568739,0.03149317413872759
3337170256,0.014242611333613308,0.05,9.060532687651332,0.04523548541974291
135162652,0.02978437980399923,0.03,12.684745762711863,0.031225937366947794
3537119515,0.03357079813726972,0.29,2.6231379716095438,0.2936569766915182
