,p corr.,Samples (P) %,Fold enrich.,M diff.
408739733,1.9093759191683006e-97,0.27,334.375,0.2670560747663551
404279373,7.205330470203791e-68,0.18,668.75,0.17830440587449933
135162652,1.4125501614529364e-64,0.18,334.375,0.1780373831775701
3567570924,3.0280469503701674e-64,0.29,46.52173913043478,0.2795727636849132
3836949038,1.70124903303616e-44,0.18,60.79545454545455,0.17563417890520694
982949046,5.781195805431742e-43,0.36,16.52205882352941,0.3523030707610147
3129492592,1.3697406211636367e-37,0.18,33.4375,0.1732309746328438
3260551405,1.8999550183453146e-35,0.18,37.15277777777778,0.17376502002670227
113411902,1.8999550183453146e-35,0.18,37.15277777777778,0.17376502002670227
165937895,3.7832046548430063e-32,0.14,41.15384615384615,0.13938584779706276
489672074,1.1681274220779015e-29,0.14,35.666666666666664,0.13885180240320427
1549551909,1.272156658283654e-21,0.18,17.598684210526315,0.16842456608811748
1759589175,4.926892536903155e-21,0.29,9.3859649122807,0.2552736982643525
266675433,1.2989883628250639e-20,0.48,6.6875,1.3060747663551402
665484675,2.979980784349095e-19,0.46,5.555111821086262,0.3807076101468625
3153477100,1.6129016504503566e-18,0.16,15.432692307692308,0.15030040053404542
570546812,6.394649740139971e-17,0.95,2.5732662192393736,0.9389185580774366
98513984,1.0876445223478025e-16,0.18,10.320216049382717,0.4031708945260347
102323513,3.582700177786038e-16,0.25,8.75,0.22142857142857142
951226070,4.4122723079506917e-16,0.23,8.390221402214022,0.5347797062750334
2667063169,1.084979449749641e-15,0.46,4.649064171122995,0.36441922563417894
1173125914,1.2563563958387167e-15,1.0,1.8987909516380654,0.769192256341789
3425850832,8.78885219096801e-14,0.07,38.21428571428571,0.06955941255006676
2807475527,1.0722929910214052e-13,0.09,23.88392857142857,0.08554739652870494
2976033787,4.209430098423327e-13,0.59,3.971709470304976,1.9774365821094793
784020300,2.2702698983761036e-12,0.09,22.291666666666664,0.0852803738317757
1932253067,4.1336912205184875e-12,0.32,5.4468325791855206,0.26241655540720965
161963127,2.8092357679805042e-11,0.98,3.2460981761029277,16.408811748998666
3189457552,9.952681971658911e-11,0.48,3.325276243093923,0.33714953271028036
1039786213,1.7695774131871096e-09,0.12,10.886627906976743,0.11351802403204272
1010413289,2.5952014452943833e-09,0.14,7.753623188405797,0.12443257676902536
2246728737,3.235727635803976e-09,1.0,1.5982076176250932,0.8555407209612815
4003049590,8.62910055881605e-09,0.32,3.94672131147541,0.23998664886515356
864662311,1.1217358024059895e-07,0.91,2.0788389672158996,1.695894526034713
3025629386,1.6857468413567156e-06,0.07,16.049999999999997,0.10046728971962617
21411075,2.710887429144884e-06,0.66,2.80363748458693,0.7811748998664886
2098262959,3.340131502804662e-06,0.36,3.3106435643564356,0.24926568758344458
3315826729,9.479283406298299e-06,0.38,3.01368025751073,0.25056742323097464
2245273601,3.450346245328185e-05,0.71,2.0234746186546637,1.092890520694259
3624155,9.376233841258871e-05,0.12,6.3690476190476195,0.12042723631508678
864674487,0.0005174718123256369,0.59,1.9559540389972145,0.3665554072096128
3671842317,0.0011771614484362045,0.07,8.629032258064516,0.06315086782376501
4089138501,0.001735644701085877,0.05,11.145833333333332,0.048765020026702265
847961216,0.002512232533793089,0.41,2.6011606022584695,0.34075433911882513
4239050898,0.0026899024816282005,0.05,32.099999999999994,0.2076101468624833
2088089984,0.004400016571995463,0.09,6.308962264150944,0.07513351134846462
3975275337,0.004713861227819897,0.11,5.015625,0.08578104138851803
864942795,0.006425207573401046,0.02,0.057403433476394844,-0.2932242990654206
3217380708,0.011476699247853205,0.27,2.7092217484008527,0.42810413885180243
1239913800,0.035746474303917815,0.04,11.145833333333334,0.03251001335113485
3983062349,0.03607580315481321,0.04,6.6875,0.03037383177570093
841576118,0.03642805735139708,0.07,6.604938271604938,0.1212283044058745
