,p corr.,Samples (P) %,Fold enrich.,M diff.
271903915,6.417783710639365e-33,0.15,5.76488496908446,0.18215129881816544
1618797937,1.693423191123023e-26,0.02,280.8056872037915,0.023612294278800967
3651174070,4.2493546583249275e-26,0.05,18.16977976024533,0.049263503109564656
1428903162,4.0053152374646107e-25,0.1,6.046055466110343,0.08899794028835964
379973331,5.7817621662234984e-24,0.03,33.186126669538986,0.029877417161597374
1929188629,1.5569372288282347e-23,0.04,17.04891672308734,0.03792149099126122
1533864325,4.492084777777912e-22,0.4,1.9918209622499286,0.22891395204671344
1601220617,2.6599735963335884e-21,0.03,30.633347694959067,0.027507748915151876
639556223,8.273042939033889e-21,0.06,9.117067766356866,0.052743815865778795
1693331843,1.3211368471459909e-20,0.08,6.26120789035481,0.06570960065590817
864942730,2.2386044323927724e-20,0.84,1.5103298015564315,0.7110164576959226
847961216,8.155096450559627e-20,0.43,1.8018880736564626,0.2762961185434039
19347986,5.360265834036543e-19,0.04,15.600315955766192,0.033266542684024236
716542151,6.614477633640107e-19,0.04,12.91706161137441,0.05028296038554603
311968854,7.262489704896531e-19,0.05,8.701021293638608,0.04614114024036635
3925172229,8.048063856797954e-19,0.08,5.616113744075829,0.06622272881796548
3610868027,1.0539124308624638e-17,0.03,15.120306234050311,0.03098126262323275
981275166,1.656956096892238e-17,0.02,42.12085308056872,0.02082068510408543
3792542375,1.9823143292673293e-16,0.03,18.313414382855964,0.03360409542664027
185358682,1.078489412880714e-15,0.02,44.92890995260664,0.01853540504329394
303449560,1.078489412880714e-15,0.02,44.92890995260664,0.01853540504329394
4240174685,9.402723244926596e-15,0.02,37.44075829383886,0.018451016857639932
2529809651,1.5271979552535528e-14,0.05,8.258990800111512,0.04165496830443738
519023818,4.257679626575183e-14,0.03,11.23222748815166,0.030221768952346673
4257302536,4.771608908718616e-14,0.04,8.679448513571737,0.035643009978602994
4278941385,6.249672893619218e-14,0.14,2.8441089574135794,0.1090903273541704
2640198490,6.78993225791063e-14,0.02,32.09207853757617,0.018366628671985925
647083875,6.78993225791063e-14,0.02,32.09207853757617,0.018366628671985925
2065608446,6.78993225791063e-14,0.02,32.09207853757617,0.018366628671985925
2397107603,1.336458891533117e-13,0.02,19.305390995260662,0.02471613974043634
394203089,1.340641676187301e-13,0.02,18.72037914691943,0.022430859679644848
