ChEBI_ID,ChEBI_Name,Corr-PValue,PValue,Fold,SamplePercentage
CHEBI:33853,phenols,0.0,0.0,5.23974309263709,0.147734680573664
CHEBI:36683,organochlorine compound,0.0,0.0,4.5496653628857,0.084419817470665
CHEBI:37578,halide,0.0,0.0,3.90823431151326,0.16786179921773098
CHEBI:24471,halogen molecular entity,0.0,0.0,3.80605550841618,0.16892112125163
CHEBI:36684,organohalogen compound,0.0,0.0,3.5838952892213,0.13347457627118597
CHEBI:22712,benzenes,0.0,0.0,2.7804661410652898,0.154579530638853
CHEBI:33822,organic hydroxy compound,0.0,0.0,2.7278262146610897,0.23794002607561898
CHEBI:33836,benzenoid aromatic compound,0.0,0.0,2.45968147076062,0.198989569752282
CHEBI:33598,carbocyclic compound,0.0,0.0,2.35100696181186,0.216101694915254
CHEBI:33597,homocyclic compound,0.0,0.0,2.34942607336492,0.216101694915254
