,p corr.,Samples (P) %,Fold enrich.,M diff.
1693331843,1.6043927373981724e-28,0.24,11.389768693368778,0.5110241035416652
1533864325,9.76325804413561e-28,0.53,3.5974834871677817,0.7258081618627805
1403696485,7.474928142305614e-27,0.08,18.969489077450802,0.07935361401645703
921537740,7.431922538904817e-26,0.06,53.48342059336823,0.07192794051169699
2277015046,7.797184891143811e-26,0.06,42.02268760907504,0.05622113422897448
1328014765,8.347208566223966e-26,0.08,19.835884011276683,0.07457484152477444
1301300136,1.2423094283101654e-25,0.09,14.735228122662678,0.08784522326051963
1718462770,5.651075571021217e-24,0.06,65.89921465968587,0.11859152975730629
379973331,1.5797990813516277e-23,0.05,42.97774869109948,0.05113780866891972
277461676,1.600957064812811e-23,0.05,61.887958115183245,0.046359036177237134
3912691268,1.1265005360573474e-22,0.04,91.68586387434556,0.04142798715136846
639556223,4.829310079058921e-22,0.13,8.506935823392885,0.11088362644573015
1292826808,1.941280180023464e-21,0.18,16.554392088423505,0.5755622472189601
4022716898,1.5902764477395895e-20,0.17,14.204228911035194,0.5207698017295744
2246728737,5.3052593015224596e-20,0.84,0.5952820537276556,-1.7050291916507812
411967733,5.932443027610017e-20,0.12,15.94083769633508,0.2502652880458137
3725356643,3.824934919610041e-19,0.09,9.741623036649214,0.07986864355092932
31734949,6.506864490082583e-19,0.07,31.51701570680628,0.1672929138792487
340449530,1.1132688024414624e-18,0.06,19.905483604298702,0.05469836888711366
3351556771,2.05953615162697e-18,0.2,3.8285854729189053,0.19727305414905721
314452850,2.7589761658547012e-17,0.08,10.579138139347565,0.07585125373017715
1073159142,3.809792477874955e-17,0.11,7.078688019710502,0.09441543749207724
533338859,1.2444925689788714e-16,0.04,48.13507853403141,0.035887831988755454
789836575,1.2444925689788714e-16,0.04,48.13507853403141,0.035887831988755454
2784506312,2.2446130582180794e-16,0.13,6.228659230594127,0.10987589063834163
1424896491,2.801864785052379e-16,0.06,18.664622288706056,0.09414676109406304
271903915,1.5337720836711013e-14,0.04,27.014584891548242,0.055459751558044064
3099573891,2.9119772566460793e-13,0.03,41.25863874345549,0.030652229894514615
1717853410,3.851303190720811e-13,0.05,11.091031920283735,0.04763544838263983
168526076,2.054116577655175e-12,0.07,8.751832460732984,0.06492321993913722
932734850,2.35710859183655e-12,0.11,5.640829515706807,0.09045624760323911
176426910,1.952928591193848e-11,0.03,29.470456245325355,0.03034767682614245
505130466,1.9715694135003556e-11,0.03,25.786649214659686,0.03019540029195637
847336149,9.084279842940725e-11,0.08,7.535824428028402,0.07265344651226943
4081192418,1.5288175675726356e-10,0.08,6.5489902767389685,0.07097840463622253
3315826729,8.942731317408757e-10,0.16,5.598936068014794,0.30533517978596775
3995043796,1.0151498348595596e-09,0.07,7.327353875203846,0.0587739586397799
2651067438,1.148885184478866e-09,0.21,6.91968783957325,0.5733091923204792
921629099,2.331655526028128e-09,0.04,16.04502617801047,0.034365066646894635
84524794,2.331655526028128e-09,0.04,16.04502617801047,0.034365066646894635
1686095578,4.1010796760874455e-09,0.03,28.651832460732983,0.025264351266087698
3925172229,5.147736674924598e-09,0.16,2.802073482943931,0.12458373096642981
93389161,2.3372392187784926e-08,0.03,24.55871353777113,0.025112074731901614
2728650468,3.366609506661309e-08,0.03,17.19109947643979,0.02958629415521204
1998475861,3.8207396141676246e-08,0.07,5.942602288152027,0.06096403005029909
4095838119,1.0985376097314929e-07,0.03,21.48887434554974,0.024959798197715533
864365306,1.2890473356980882e-07,0.04,10.187318208260617,0.03777335033090249
302029314,1.3806868190879687e-07,0.06,7.003781268179173,0.04936869019060079
147853351,2.080141780994249e-07,0.07,5.730366492146596,0.06050720044774084
433624296,4.3894638828199397e-07,0.03,19.101221640488653,0.024807521663529453
651243633,4.6906523525564093e-07,0.04,9.823485415108452,0.03762107379671641
89508356,1.5277030558397186e-06,0.03,17.19109947643979,0.02465524512934337
1163262401,1.927215400180645e-06,0.03,12.893324607329843,0.028977188018467714
546872891,4.676639082079566e-06,0.02,17.191099476439792,0.019724196103474697
2196613636,4.734452231187493e-06,0.03,14.157376039421004,0.03406051357852247
3920757710,4.829356593082675e-06,0.03,12.134893748075147,0.02882491148428163
4006278292,1.480790035395934e-05,0.04,7.078688019710502,0.03147181249735907
1861965050,1.671707302704875e-05,0.45,0.532383001699279,-0.7035973138738273
372101879,1.7213066292862305e-05,0.09,3.9671768022553366,0.0704856983633063
3275078219,1.7298270925718427e-05,0.05,6.367073880162885,0.04413308809635995
2270589688,1.954948480257074e-05,0.02,24.55871353777113,0.025112074731901614
131137686,1.9834601566095382e-05,0.04,7.640488656195463,0.036402861523227754
3460898310,1.9966731126424744e-05,0.03,12.033769633507852,0.03360368397596422
1535166686,2.266134578376896e-05,0.24,4.762399179283996,0.5087574952343823
2459063743,2.6820181030840553e-05,0.07,4.966317626527051,0.05435793914838352
3651174070,3.492269720489827e-05,0.06,5.0427225130890045,0.04617088297269307
535468376,4.380696761715883e-05,0.04,8.595549738219894,0.03238547170247557
909362583,5.806230722177029e-05,0.12,3.1127916747463,0.07818004826608052
1651269323,7.031936150826967e-05,0.02,17.19109947643979,0.02958629415521204
4223976160,7.066746991940903e-05,0.02,8.595549738219896,0.018505983829986042
3406201864,7.101864799700782e-05,0.02,13.752879581151833,0.019419643035102532
2780028940,7.632779010695347e-05,0.03,9.82348541510845,0.028215805347537305
924858408,7.989854427928053e-05,0.03,11.460732984293195,0.02389386245841296
177229361,9.10390659769459e-05,0.12,2.9023934181002247,0.08922448192094856
2460574971,0.00012913183384196864,0.03,23.711861346813503,0.10029602239342038
3537119515,0.0001642828685494273,0.1,0.37435784513169484,-0.44624757932132497
658877164,0.00017530642096225558,0.03,11.460732984293195,0.02389386245841296
3083149214,0.00018232318402547408,0.15,7.521106020942408,0.41309275235450615
2498876202,0.00018870028044096795,0.04,7.763722344198614,0.03192864209991732
535847852,0.00027567313643155967,0.05,6.2513089005235605,0.04398081156217387
1916308629,0.00033687660786212154,0.04,6.2513089005235605,0.0351846492497391
3662562115,0.00036380894310902525,0.03,10.74443717277487,0.023741585924226878
2531930719,0.00036380894310902525,0.03,10.74443717277487,0.023741585924226878
203851115,0.0003654923232121772,0.03,9.550610820244327,0.023437032855854713
4231175861,0.0003688810493393034,0.03,9.047947092863048,0.023284756321668633
3968746622,0.00044175290307828875,0.06,4.210065177903622,0.04790412478065402
2342113506,0.0005169382352202376,0.08,3.3919658159791513,0.08122557894980215
3538861869,0.0005672141930488253,0.02,30.943979057591623,0.09119530701261344
3443575581,0.0005860543686612616,0.02,13.752879581151833,0.019419643035102532
4003049590,0.000701202113590893,0.05,4.911742707554225,0.03752699719444438
1110079142,0.000719857835677124,0.03,7.113558404044051,0.02699759307404865
787069595,0.0007705877508123491,0.1,3.496494808767415,0.13457578229079717
422715066,0.0012102278434307598,0.07,0.26222403867158045,-0.2504191590986824
14423439,0.0014324858237442504,0.02,12.502617801047121,0.01926736650091645
1189967413,0.0014900431407200744,0.06,4.4846346460277715,0.04881778398577051
2092489639,0.0016925310805545784,0.37,1.6226683388269083,0.21296072620758882
222023415,0.001819270935082652,0.03,7.367614061331339,0.02714986960823473
1773048520,0.0020799625534572742,0.04,6.5489902767389685,0.035489202318111264
