,p corr.,Samples (P) %,Fold enrich.,M diff.
1527163985,1.531954784391105e-228,0.33,1116.8333333333333,0.33303487041735064
1786160715,4.7418554076837504e-157,0.26,293.9035087719298,0.262262505988894
2624895325,8.912313628014165e-140,0.33,79.77380952380952,0.32915485250957566
281086138,5.59207100255857e-126,0.18,inf,0.17543859649122806
4074758235,1.3884686559221986e-61,0.16,75.57518796992481,0.15580549643022643
2223687999,1.456918800591742e-24,0.19,13.612373037857802,0.17880546763117314
187923059,3.253526934319628e-23,0.07,52.249512670565295,0.06883235547456912
203853555,1.1397749094578546e-21,0.07,52.249512670565295,0.06883235547456912
410310586,3.4961481979218947e-19,0.09,29.39035087719298,0.08473466908578714
1067305901,7.738515116697607e-19,0.33,6.531189083820663,0.28229617470029345
2950679810,2.971633628308911e-17,0.35,5.805501407840589,0.29043845249596156
1024241745,1.7055136882850368e-15,0.05,50.38345864661654,0.051586958741429004
696600298,3.47901447197828e-14,0.05,44.08552631578947,0.051437727283437665
3129492592,3.60973651848281e-11,0.16,9.12114337568058,0.14058388771510927
4073738336,1.0754212408147565e-09,0.05,27.129554655870443,0.05069156999348094
379973331,1.7077500836775387e-08,0.05,23.512280701754385,0.05039310707749825
3332377904,1.7202936424057127e-08,0.05,22.042763157894736,0.050243875619506904
1173125914,3.009225476769822e-08,0.18,5.848826045212533,0.1454430734349678
1390034913,6.489407883252685e-08,0.11,10.22273073989321,0.09496618729333406
999334238,1.9622652560287819e-07,0.23,3.157641003334783,0.1558421497707857
3462479532,4.0220638724929193e-07,0.07,17.416504223521766,0.13229237846144984
1482873601,7.234697683846308e-07,0.09,10.496553884711778,0.07936233659809873
864662311,4.030797607661949e-06,0.35,0.32908532842234495,-1.3591503755658363
2347504328,5.952782454097711e-06,0.05,16.794486215538846,0.04949771832955018
1923187777,1.1419094538648127e-05,0.04,26.124756335282648,0.03374463617632351
1796784588,1.1664007137092672e-05,0.04,14.69517543859649,0.0327000159703841
982096384,4.44803834629861e-05,0.04,23.512280701754385,0.03359540471833217
994637429,4.44803834629861e-05,0.04,23.512280701754385,0.03359540471833217
1428903162,4.4699707336447654e-05,0.04,21.374800637958533,0.03344617326034082
3249398244,8.252067256091609e-05,0.05,15.67485380116959,0.09854774228512633
2982494297,9.059087446563043e-05,0.14,6.373811033608116,0.13312231481554204
135162653,0.0001481244143855659,0.05,13.564777327935222,0.04875156103959346
1103426160,0.00040769905179684424,0.04,19.593567251461987,0.033296941802349475
2751427355,0.00040769905179684424,0.04,19.593567251461987,0.033296941802349475
1378786969,0.0010176849616851055,0.04,18.086369770580298,0.033147710344358136
2931695851,0.0022125766415057443,0.04,26.124756335282648,0.06748927235264703
113411902,0.002298095080716396,0.04,16.794486215538846,0.03299847888636679
2246340824,0.0023368059381389185,0.05,10.373065015479876,0.0475577093756627
2109758159,0.0024731945956587564,0.07,8.397243107769423,0.06181847694897593
2976033787,0.0031507230044115027,1.0,0.5902326310963103,-1.7782472896163704
1335155163,0.0048374528979476744,0.05,10.373065015479876,0.0475577093756627
435232729,0.004964917936741298,0.05,8.201958384332926,0.0462146262537406
171200514,0.006452888146784489,0.09,3.498851294903926,0.06264841330306814
2054773452,0.006804130019797501,0.05,10.076691729323308,0.04740847791767136
516041383,0.0100615552378459,0.46,1.8183203398144379,0.20528226999374272
271903915,0.01694275827575726,0.04,10.222730739893212,0.031655395764444684
1730555933,0.022925824792802665,0.05,9.043184885290149,0.046811552085705976
87762699,0.028793165383440945,0.04,13.062378167641324,0.03240155305440141
1408936613,0.03016089221348241,0.05,8.602053915275995,0.04651308916972329
266675433,0.038216381744273026,0.12,0.31445541633985613,-0.5354634160389782
411967733,0.04573035662623833,0.09,3.7679937022042282,0.06443919079896428
1023290960,0.04732136086603803,0.04,12.374884579870729,0.03225232159641007
