,p corr.,Samples (P) %,Fold enrich.,M diff.
4046184955,3.157628767937892e-41,0.05,102.0595744680851,0.08427249371921706
3134606292,1.3297421911172456e-26,0.19,9.618709895305638,0.18111365023490836
1409441594,5.5002821228625424e-24,0.1,18.518874399450926,0.09057456744212454
2768047442,4.394925882387651e-21,0.04,46.39071566731141,0.04163591330390473
1517923320,5.789271065903665e-19,0.05,35.192956713132794,0.08268810412615503
2031309852,8.712120060330285e-19,0.04,36.449848024316104,0.04138574652605283
2222975967,1.4518943905203952e-18,0.06,19.62684124386252,0.06057761912196783
1395978778,2.956854624918959e-18,0.05,25.514893617021276,0.051106766212936285
311542011,6.819723274602761e-17,0.04,33.57222844344905,0.051607099768640086
19209187,1.1254127755065502e-16,0.1,11.597678916827853,0.0874891771819511
1246713026,6.382669132635584e-15,0.06,17.801088570014844,0.060244063418165295
2192318254,2.628652220172697e-13,0.28,3.8071599265766967,0.4314205924517054
4291280580,5.821260678988894e-13,0.12,7.016595744680851,0.10034349140561794
2248016768,4.093582946911246e-11,0.06,12.757446808510638,0.058826451677004524
2513995286,6.689962537187694e-11,0.06,12.54830833623997,0.05874306275105389
2186236715,1.3721127304969672e-10,0.1,10.631205673758863,0.15420209217492511
387150968,4.513118389217914e-09,0.03,23.920212765957448,0.030580670801811136
895910141,5.260278697585681e-09,0.04,12.44628956927867,0.03913424552538572
2222715027,1.1608964535083676e-08,0.15,4.7602413464591935,0.12605211985295162
847336149,1.7315280254207402e-08,0.12,7.761184370196586,0.1482814784324301
1338473746,4.1763783826889964e-08,0.05,12.035327177840225,0.04877187628631854
2974110444,4.347310143059586e-08,0.03,21.26241134751773,0.030413892949909867
921439924,1.0618008197632062e-07,0.28,3.4381771540666963,0.2866769335585425
198581797,2.646944193536268e-07,0.02,52.53066332916145,0.0730504733652222
1082457852,2.69357701265792e-07,0.02,31.893617021276597,0.02060948433707578
710317850,2.6983000429183513e-07,0.02,29.44026186579378,0.030830837579663036
751208592,2.921364498068434e-07,0.03,21.262411347517727,0.04055185726654649
2680632905,2.9949475074072673e-07,0.03,16.64014801110083,0.0299969483201567
328936174,3.988334438809354e-07,0.04,13.791834387579067,0.03946780122918825
1198436375,3.2224916952108812e-06,0.03,16.64014801110083,0.0299969483201567
1222631225,6.394707068619005e-06,0.02,38.272340425531915,0.06216200871502987
984189120,6.87549705216746e-06,0.32,2.6864359097255504,0.2871666217194442
515008442,7.1865724609109115e-06,0.11,6.677451497567551,0.171857479454388
3995047843,2.068372151743624e-05,0.07,6.333484231175494,0.06271024654734361
2419400790,2.937779081550325e-05,0.04,10.85740153915799,0.03863391196968191
1159494601,2.946288868991975e-05,0.04,10.631205673758863,0.03855052304373128
410310586,7.135307808138666e-05,0.02,19.626841243862522,0.020192539707322613
2246997334,0.00014457325244609422,0.12,3.9980602533794025,0.08775176358707223
2370996728,0.0004506563816570092,0.02,26.85778275475924,0.04096880189629966
3202550519,0.0004611532774647219,0.02,18.224924012158052,0.020109150781371977
3927890045,0.00048379239653012127,0.06,6.326006681906101,0.05373972719401586
2245900962,0.0004891508233317353,0.11,3.0740835683158165,0.10048720423544774
1510328189,0.0006098022115889046,0.23,0.4290361133565657,-0.5238279420322769
440332323,0.0006610726058022602,0.03,11.597678916827851,0.02916305906065036
1942482483,0.0010192938417471116,0.02,15.008760951188986,0.019858984003520076
422715066,0.0016767666690728825,0.05,7.3131860685729775,0.08265261947681433
4008337421,0.0019311434689353304,0.12,1.5203891104400544,0.040053297943309724
3696389118,0.0019789435304659675,0.06,5.712289615751032,0.052655671156657625
1390475220,0.0028089948891183644,0.03,9.568085106382979,0.028579336578995924
3746198488,0.0035894019132537624,0.04,6.895917193789534,0.0363824109690148
619920801,0.0039013484662357993,0.02,18.224924012158052,0.060327452344115934
745524459,0.003943661466024517,0.02,14.174940898345154,0.019775595077569444
864674487,0.004536045916579783,0.37,2.322048823217538,0.5087771280144209
2258843522,0.00707695248117785,0.02,14.174940898345154,0.019775595077569444
3612926680,0.01084041371281954,0.04,5.17193789534215,0.05148822619334875
306100241,0.011882987076573223,0.03,11.597678916827853,0.038884078747533815
2213841027,0.01212351564492689,0.02,12.757446808510638,0.019608817225668176
2807496773,0.02710457208726904,0.1,3.7968591691995948,0.07836429960399131
2379014453,0.031231507048959415,0.02,11.597678916827853,0.019442039373766908
1861965050,0.04983611474428717,0.04,5.516733755031627,0.06967943167785616
