ChEBI_ID,ChEBI_Name,Corr-PValue,PValue,Fold,SamplePercentage
CHEBI:61120,nucleobase-containing molecular entity,0.0,0.0,22.368594316490302,0.48146157979580895
CHEBI:63367,monosaccharide derivative,0.0,0.0,11.908565450931,0.27673293927995696
CHEBI:33833,heteroarene,0.0,0.0,7.49964921428558,0.5077915099408921
CHEBI:26079,phosphoric acid derivative,0.0,0.0,6.33581429041733,0.518001074691026
CHEBI:36359,phosphorus oxoacid derivative,0.0,0.0,6.293416004828909,0.518538420204191
CHEBI:36360,phosphorus oxoacids and derivatives,0.0,0.0,6.209377323837599,0.519075765717356
CHEBI:26082,phosphorus molecular entity,0.0,0.0,6.12393608473132,0.519075765717356
CHEBI:33241,oxoacid derivative,0.0,0.0,4.39601887801024,0.5212251477700159
CHEBI:25608,nucleoside phosphate,0.0,5e-324,15.252290078566599,0.21063944116066602
CHEBI:58945,organophosphate oxoanion,0.0,6.7e-322,10.031919204376301,0.259537882858678
